X_HT_V_300mN_1_Time_[s]	Y_HT_V_300mN_1_Fn_[mN]	X_HT_V_300mN_1_Time_[s]	Y_HT_V_300mN_1_Pd_[nm]	X_HT_V_300mN_2_Time_[s]	Y_HT_V_300mN_2_Fn_[mN]	X_HT_V_300mN_2_Time_[s]	Y_HT_V_300mN_2_Pd_[nm]	X_HT_V_300mN_3_Time_[s]	Y_HT_V_300mN_3_Fn_[mN]	X_HT_V_300mN_3_Time_[s]	Y_HT_V_300mN_3_Pd_[nm]	X_HT_V_300mN_4_Time_[s]	Y_HT_V_300mN_4_Fn_[mN]	X_HT_V_300mN_4_Time_[s]	Y_HT_V_300mN_4_Pd_[nm]	
1065.2	35.7695634414736	1065.2	1327.85392148824	1065.2	35.7522418000751	1065.2	1324.61829645551	1065.2	35.8623445155817	1065.2	1360.20379876614	1065.2	35.8965692508998	1065.2	1286.90260654888	
1065.3	35.6699238326415	1065.3	1327.72795057616	1065.3	35.6517009256317	1065.3	1324.0802747418	1065.3	35.7632519227359	1065.3	1359.84754184273	1065.3	35.7951839535657	1065.3	1286.67029143185	
1065.4	35.5715202585056	1065.4	1327.37379845441	1065.4	35.5527199840399	1065.4	1323.72390971478	1065.4	35.6634813823155	1065.4	1359.29174022406	1065.4	35.6953451358222	1065.4	1286.37198579897	
1065.5	35.4715138531538	1065.5	1326.9982016406	1065.5	35.4524513455434	1065.5	1323.61422894063	1065.5	35.5628575393114	1065.5	1359.01396758057	1065.5	35.595318841723	1065.5	1285.90973852474	
1065.6	35.3707610511391	1065.6	1326.70541648971	1065.6	35.3519946901903	1065.6	1323.30845373491	1065.6	35.4622993269677	1065.6	1358.7616889316	1065.6	35.4951252945099	1065.6	1285.68729849843	
1065.7	35.2702944501356	1065.7	1326.50161786284	1065.7	35.2519816924168	1065.7	1322.83773329722	1065.7	35.3620715326897	1065.7	1358.37779482909	1065.7	35.397531950255	1065.7	1285.20725859779	
1065.8	35.1700709090102	1065.8	1326.27628024189	1065.8	35.1523505238299	1065.8	1322.54590159518	1065.8	35.263479785618	1065.8	1357.94146435692	1065.8	35.2973350231703	1065.8	1285.05898929469	
1065.9	35.0707925546121	1065.9	1325.69042363124	1065.9	35.0532438796099	1065.9	1322.03182028582	1065.9	35.1639144316766	1065.9	1357.62196002467	1065.9	35.1962857632295	1065.9	1284.9423301239	
1066	34.9705220720733	1066	1325.47734258769	1066	34.9534027049637	1066	1321.54730995372	1066	35.0626903763428	1066	1357.36427768874	1066	35.0962429065292	1066	1284.57115121703	
1066.1	34.870080366881	1066.1	1325.37414839727	1066.1	34.853157777377	1066.1	1321.15252288213	1066.1	34.9626970610374	1066.1	1357.01503352235	1066.1	34.998018216298	1066.1	1284.34898384797	
1066.2	34.7690857997843	1066.2	1325.11517921874	1066.2	34.7520674780567	1066.2	1320.71801269219	1066.2	34.8625952474134	1066.2	1356.56511759373	1066.2	34.8991773363779	1066.2	1283.95109219236	
1066.3	34.6697471093998	1066.3	1324.53371837674	1066.3	34.6519524954615	1066.3	1320.19096887194	1066.3	34.7641574857517	1066.3	1356.30960899143	1066.3	34.7973789899981	1066.3	1283.42590722231	
1066.4	34.5714383884563	1066.4	1324.03045551442	1066.4	34.5529709155645	1066.4	1319.74436372239	1066.4	34.6656521391292	1066.4	1355.86691764	1066.4	34.6958236949374	1066.4	1283.16494861315	
1066.5	34.4718705114237	1066.5	1323.76512973735	1066.5	34.4520692044016	1066.5	1319.57900842453	1066.5	34.564200033565	1066.5	1355.35517448964	1066.5	34.5954027786742	1066.5	1282.9981653453	
1066.6	34.3704311207273	1066.6	1323.69705790743	1066.6	34.3522381310327	1066.6	1319.36391526062	1066.6	34.4628837643466	1066.6	1355.07661632926	1066.6	34.4966156882097	1066.6	1282.45244510231	
1066.7	34.2700150834559	1066.7	1323.57263460265	1066.7	34.2534353731109	1066.7	1318.76750453796	1066.7	34.3627679600938	1066.7	1354.77530216133	1066.7	34.397415037642	1066.7	1281.86848737169	
1066.8	34.1704202776148	1066.8	1323.2979104537	1066.8	34.1537842254121	1066.8	1318.37882360494	1066.8	34.2636355476728	1066.8	1354.04224332852	1066.8	34.2960579648799	1066.8	1281.62299404326	
1066.9	34.0710962977753	1066.9	1322.96823977954	1066.9	34.0532362468517	1066.9	1318.05460360698	1066.9	34.1628290596814	1066.9	1353.68411806329	1066.9	34.1961513072678	1066.9	1281.35706960837	
1067	33.9722727166808	1067	1322.50757246474	1067	33.953570069683	1067	1317.48108522827	1067	34.06234953887	1067	1353.3223200498	1067	34.0956819726772	1067	1281.04771779801	
1067.1	33.8712632846628	1067.1	1322.06065407217	1067.1	33.8530189296563	1067.1	1316.99756522131	1067.1	33.9626471130513	1067.1	1352.978834037	1067.1	33.9947914248614	1067.1	1280.68532251093	
1067.2	33.7708595207206	1067.2	1321.77782899683	1067.2	33.7529696859173	1067.2	1316.40779655751	1067.2	33.8625370329794	1067.2	1352.64602424731	1067.2	33.895466220591	1067.2	1280.10055463094	
1067.3	33.670664214274	1067.3	1321.47269334704	1067.3	33.6528234949356	1067.3	1316.09360191016	1067.3	33.7630095280787	1067.3	1352.40863815713	1067.3	33.7961802341445	1067.3	1279.9892817713	
1067.4	33.5700030501191	1067.4	1321.2193987423	1067.4	33.5537433527735	1067.4	1315.65989258034	1067.4	33.6649861605737	1067.4	1352.20138148259	1067.4	33.6959115343052	1067.4	1279.82090639209	
1067.5	33.4713380195622	1067.5	1320.85489522488	1067.5	33.4533587037802	1067.5	1315.22795133138	1067.5	33.5641260095227	1067.5	1351.55117110376	1067.5	33.5957991060293	1067.5	1279.52965741196	
1067.6	33.3713764047225	1067.6	1320.42564187351	1067.6	33.352570663124	1067.6	1314.87592506468	1067.6	33.46345741426	1067.6	1351.11013180366	1067.6	33.4954041046235	1067.6	1279.09996362631	
1067.7	33.2706756670545	1067.7	1320.07186109587	1067.7	33.2527988447724	1067.7	1314.55513299656	1067.7	33.3627913039382	1067.7	1350.81389504656	1067.7	33.3957001038412	1067.7	1278.69322250757	
1067.8	33.1707616565354	1067.8	1319.58739551669	1067.8	33.1538881064452	1067.8	1314.00930861111	1067.8	33.2629858531853	1067.8	1350.5179036465	1067.8	33.2957392977742	1067.8	1278.56130825375	
1067.9	33.0700485756141	1067.9	1319.18755345671	1067.9	33.0544809647003	1067.9	1313.51550485236	1067.9	33.1647726590721	1067.9	1349.98776861591	1067.9	33.1961250229646	1067.9	1278.21636368297	
1068	32.9708130079214	1068	1318.8778634645	1068	32.9549250473825	1068	1312.98593530287	1068	33.064509091185	1068	1349.51987607123	1068	33.0957981175364	1068	1277.79965866094	
1068.1	32.8717127611627	1068.1	1318.66714597873	1068.1	32.8536857856839	1068.1	1312.61767795614	1068.1	32.9633986631766	1068.1	1349.33755560557	1068.1	32.9965730401695	1068.1	1277.40522152964	
1068.2	32.7706092349867	1068.2	1318.41499686949	1068.2	32.7533527181068	1068.2	1312.19788856958	1068.2	32.8628887454705	1068.2	1348.87308614007	1068.2	32.8968847679734	1068.2	1277.06435845964	
1068.3	32.6705978455466	1068.3	1317.95572776964	1068.3	32.6533513740833	1068.3	1311.75465566261	1068.3	32.7631970177862	1068.3	1348.39339373211	1068.3	32.7964921420105	1068.3	1276.77340250083	
1068.4	32.5706781955984	1068.4	1317.40708526841	1068.4	32.5549602282375	1068.4	1311.05959833291	1068.4	32.6638697611364	1068.4	1348.02061008044	1068.4	32.6966543404107	1068.4	1276.38351307916	
1068.5	32.4721329447631	1068.5	1317.04999916927	1068.5	32.4544435543074	1068.5	1310.45833828906	1068.5	32.5646267521335	1068.5	1347.50609603566	1068.5	32.5965256908401	1068.5	1276.16437863863	
1068.6	32.3717905417001	1068.6	1316.9131144173	1068.6	32.3532247590746	1068.6	1310.11982847813	1068.6	32.4633895588152	1068.6	1347.43517214142	1068.6	32.4963129273649	1068.6	1275.60380697311	
1068.7	32.2709670759503	1068.7	1316.60827083207	1068.7	32.2533231123262	1068.7	1309.7513109422	1068.7	32.3628908340842	1068.7	1347.22971053798	1068.7	32.3968660760236	1068.7	1275.2851184947	
1068.8	32.1706975047215	1068.8	1316.24170937403	1068.8	32.1534111502854	1068.8	1309.32842220676	1068.8	32.2624411773758	1068.8	1346.7053666354	1068.8	32.2971863770978	1068.8	1275.05207627748	
1068.9	32.0698818389459	1068.9	1315.95627992349	1068.9	32.0541445767456	1068.9	1308.58119478923	1068.9	32.1630398469509	1068.9	1346.30860137785	1068.9	32.195599809169	1068.9	1274.76621277431	
1069	31.9706447194482	1069	1315.52202889066	1069	31.9562994240026	1069	1308.01789570582	1069	32.0643937474604	1069	1345.81904075548	1069	32.0954048812197	1069	1274.54118556457	
