Group	Measurement	Parameter	Unit	Value
H_300mN_NEW	12	hm (O&P)	nm	1706.509
H_300mN_NEW	12	Fm (O&P)	mN	299.945
H_300mN_NEW	12	S (O&P)	mN/nm	0.725
H_300mN_NEW	12	Poisson's ratio		0.340
H_300mN_NEW	12	hc (O&P)	nm	1360.112
H_300mN_NEW	12	hr (O&P)	nm	1293.066
H_300mN_NEW	12	hp (O&P)	nm	1253.857
H_300mN_NEW	12	Epsilon (O&P)		0.838
H_300mN_NEW	12	Ap (O&P)	nm©÷	79646736.000
H_300mN_NEW	12	m (O&P)		1.095
H_300mN_NEW	12	CIT	%	9.901
H_300mN_NEW	12	RIT	%	-0.117
H_300mN_NEW	12	Welast	pJ	70031.844
H_300mN_NEW	12	Wplast	pJ	207315.984
H_300mN_NEW	12	Wtotal	pJ	277347.813
H_300mN_NEW	12	nit	%	25.251
H_300mN_NEW	12	X	mm	11.107
H_300mN_NEW	12	Y	mm	42.268
H_300mN_NEW	12	F/S©÷(O&P)	nm©÷/mN	569.888
V_300mN_NEW	2	HIT (O&P)	MPa	3664.427
V_300mN_NEW	2	HVIT (O&P)	Vickers	373.540
V_300mN_NEW	2	EIT (O&P)	GPa	65.160
V_300mN_NEW	2	E* (O&P)	GPa	73.677
V_300mN_NEW	2	Er (O&P)	GPa	69.229
V_300mN_NEW	2	hm (O&P)	nm	1743.972
V_300mN_NEW	2	Fm (O&P)	mN	299.713
V_300mN_NEW	2	S (O&P)	mN/nm	0.706
V_300mN_NEW	2	Poisson's ratio		0.340
V_300mN_NEW	2	hc (O&P)	nm	1399.681
V_300mN_NEW	2	hr (O&P)	nm	1319.731
V_300mN_NEW	2	hp (O&P)	nm	1256.738
V_300mN_NEW	2	Epsilon (O&P)		0.812
V_300mN_NEW	2	Ap (O&P)	nm©÷	81789848.000
V_300mN_NEW	2	m (O&P)		1.148
V_300mN_NEW	2	CIT	%	11.691
V_300mN_NEW	2	RIT	%	-0.096
V_300mN_NEW	2	Welast	pJ	72377.164
V_300mN_NEW	2	Wplast	pJ	215276.656
V_300mN_NEW	2	Wtotal	pJ	287653.813
V_300mN_NEW	2	nit	%	25.161
V_300mN_NEW	2	X	mm	9.626
V_300mN_NEW	2	Y	mm	32.738
V_300mN_NEW	2	F/S©÷(O&P)	nm©÷/mN	600.508
V_300mN_NEW	3	HIT (O&P)	MPa	3871.184
V_300mN_NEW	3	HVIT (O&P)	Vickers	394.616
V_300mN_NEW	3	EIT (O&P)	GPa	67.480
V_300mN_NEW	3	E* (O&P)	GPa	76.300
V_300mN_NEW	3	Er (O&P)	GPa	71.540
V_300mN_NEW	3	hm (O&P)	nm	1683.631
V_300mN_NEW	3	Fm (O&P)	mN	300.003
V_300mN_NEW	3	S (O&P)	mN/nm	0.711
V_300mN_NEW	3	Poisson's ratio		0.340
V_300mN_NEW	3	hc (O&P)	nm	1320.592
V_300mN_NEW	3	hr (O&P)	nm	1261.467
V_300mN_NEW	3	hp (O&P)	nm	1226.891
V_300mN_NEW	3	Epsilon (O&P)		0.860
V_300mN_NEW	3	Ap (O&P)	nm©÷	77496416.000
V_300mN_NEW	3	m (O&P)		1.082
V_300mN_NEW	3	CIT	%	11.178
V_300mN_NEW	3	RIT	%	-0.132
V_300mN_NEW	3	Welast	pJ	70308.094
V_300mN_NEW	3	Wplast	pJ	204649.406
V_300mN_NEW	3	Wtotal	pJ	274957.500
V_300mN_NEW	3	nit	%	25.571
V_300mN_NEW	3	X	mm	9.426
V_300mN_NEW	3	Y	mm	32.938
V_300mN_NEW	3	F/S©÷(O&P)	nm©÷/mN	594.069
V_300mN_NEW	5	HIT (O&P)	MPa	3548.479
V_300mN_NEW	5	HVIT (O&P)	Vickers	361.721
V_300mN_NEW	5	EIT (O&P)	GPa	71.706
V_300mN_NEW	5	E* (O&P)	GPa	81.079
V_300mN_NEW	5	Er (O&P)	GPa	75.724
V_300mN_NEW	5	hm (O&P)	nm	1781.095
V_300mN_NEW	5	Fm (O&P)	mN	299.996
V_300mN_NEW	5	S (O&P)	mN/nm	0.786
V_300mN_NEW	5	Poisson's ratio		0.340
V_300mN_NEW	5	hc (O&P)	nm	1450.766
V_300mN_NEW	5	hr (O&P)	nm	1399.249
V_300mN_NEW	5	hp (O&P)	nm	1369.122
V_300mN_NEW	5	Epsilon (O&P)		0.865
V_300mN_NEW	5	Ap (O&P)	nm©÷	84542152.000
V_300mN_NEW	5	m (O&P)		1.079
V_300mN_NEW	5	CIT	%	12.213
V_300mN_NEW	5	RIT	%	-0.132
V_300mN_NEW	5	Welast	pJ	63278.770
V_300mN_NEW	5	Wplast	pJ	231587.000
V_300mN_NEW	5	Wtotal	pJ	294865.750
V_300mN_NEW	5	nit	%	21.460
V_300mN_NEW	5	X	mm	11.272
V_300mN_NEW	5	Y	mm	34.769
V_300mN_NEW	5	F/S©÷(O&P)	nm©÷/mN	486.027
V_300mN_NEW	6	HIT (O&P)	MPa	3614.214
V_300mN_NEW	6	HVIT (O&P)	Vickers	368.421
V_300mN_NEW	6	EIT (O&P)	GPa	70.769
V_300mN_NEW	6	E* (O&P)	GPa	80.019
V_300mN_NEW	6	Er (O&P)	GPa	74.799
V_300mN_NEW	6	hm (O&P)	nm	1757.723
V_300mN_NEW	6	Fm (O&P)	mN	299.680
V_300mN_NEW	6	S (O&P)	mN/nm	0.769
V_300mN_NEW	6	Poisson's ratio		0.340
V_300mN_NEW	6	hc (O&P)	nm	1420.565
V_300mN_NEW	6	hr (O&P)	nm	1367.795
V_300mN_NEW	6	hp (O&P)	nm	1336.936
V_300mN_NEW	6	Epsilon (O&P)		0.865
V_300mN_NEW	6	Ap (O&P)	nm©÷	82916960.000
V_300mN_NEW	6	m (O&P)		1.079
V_300mN_NEW	6	CIT	%	11.459
V_300mN_NEW	6	RIT	%	-0.098
V_300mN_NEW	6	Welast	pJ	65348.949
V_300mN_NEW	6	Wplast	pJ	221597.188
V_300mN_NEW	6	Wtotal	pJ	286946.156
V_300mN_NEW	6	nit	%	22.774
V_300mN_NEW	6	X	mm	11.472
V_300mN_NEW	6	Y	mm	34.769
V_300mN_NEW	6	F/S©÷(O&P)	nm©÷/mN	507.354
V_300mN_NEW	7	HIT (O&P)	MPa	3746.462
V_300mN_NEW	7	HVIT (O&P)	Vickers	381.902
V_300mN_NEW	7	EIT (O&P)	GPa	70.887
V_300mN_NEW	7	E* (O&P)	GPa	80.152
V_300mN_NEW	7	Er (O&P)	GPa	74.915
V_300mN_NEW	7	hm (O&P)	nm	1743.910
V_300mN_NEW	7	Fm (O&P)	mN	300.050
V_300mN_NEW	7	S (O&P)	mN/nm	0.757
V_300mN_NEW	7	Poisson's ratio		0.340
V_300mN_NEW	7	hc (O&P)	nm	1368.262
V_300mN_NEW	7	hr (O&P)	nm	1347.284
V_300mN_NEW	7	hp (O&P)	nm	1335.016
V_300mN_NEW	7	Epsilon (O&P)		0.947
V_300mN_NEW	7	Ap (O&P)	nm©÷	80088944.000
V_300mN_NEW	7	m (O&P)		1.031
V_300mN_NEW	7	CIT	%	10.182
V_300mN_NEW	7	RIT	%	-0.131
V_300mN_NEW	7	Welast	pJ	64816.531
V_300mN_NEW	7	Wplast	pJ	215494.734
V_300mN_NEW	7	Wtotal	pJ	280311.281
V_300mN_NEW	7	nit	%	23.123
V_300mN_NEW	7	X	mm	11.272
V_300mN_NEW	7	Y	mm	34.969
V_300mN_NEW	7	F/S©÷(O&P)	nm©÷/mN	524.286
V_300mN_NEW	8	HIT (O&P)	MPa	3636.392
V_300mN_NEW	8	HVIT (O&P)	Vickers	370.682
V_300mN_NEW	8	EIT (O&P)	GPa	71.129
V_300mN_NEW	8	E* (O&P)	GPa	80.427
V_300mN_NEW	8	Er (O&P)	GPa	75.155
V_300mN_NEW	8	hm (O&P)	nm	1748.216
V_300mN_NEW	8	Fm (O&P)	mN	300.002
V_300mN_NEW	8	S (O&P)	mN/nm	0.770
V_300mN_NEW	8	Poisson's ratio		0.340
V_300mN_NEW	8	hc (O&P)	nm	1412.834
V_300mN_NEW	8	hr (O&P)	nm	1358.736
V_300mN_NEW	8	hp (O&P)	nm	1327.100
V_300mN_NEW	8	Epsilon (O&P)		0.861
V_300mN_NEW	8	Ap (O&P)	nm©÷	82500024.000
V_300mN_NEW	8	m (O&P)		1.081
V_300mN_NEW	8	CIT	%	12.331
V_300mN_NEW	8	RIT	%	-0.135
V_300mN_NEW	8	Welast	pJ	65139.531
V_300mN_NEW	8	Wplast	pJ	221106.016
V_300mN_NEW	8	Wtotal	pJ	286245.563
V_300mN_NEW	8	nit	%	22.757
V_300mN_NEW	8	X	mm	11.472
V_300mN_NEW	8	Y	mm	34.969
V_300mN_NEW	8	F/S©÷(O&P)	nm©÷/mN	505.644
V_300mN_NEW	11	HIT (O&P)	MPa	3603.276
V_300mN_NEW	11	HVIT (O&P)	Vickers	367.306
V_300mN_NEW	11	EIT (O&P)	GPa	67.083
V_300mN_NEW	11	E* (O&P)	GPa	75.851
V_300mN_NEW	11	Er (O&P)	GPa	71.145
V_300mN_NEW	11	hm (O&P)	nm	1748.594
V_300mN_NEW	11	Fm (O&P)	mN	300.049
V_300mN_NEW	11	S (O&P)	mN/nm	0.733
V_300mN_NEW	11	Poisson's ratio		0.340
V_300mN_NEW	11	hc (O&P)	nm	1427.140
V_300mN_NEW	11	hr (O&P)	nm	1339.006
V_300mN_NEW	11	hp (O&P)	nm	1241.140
V_300mN_NEW	11	Epsilon (O&P)		0.785
V_300mN_NEW	11	Ap (O&P)	nm©÷	83271280.000
V_300mN_NEW	11	m (O&P)		1.239
V_300mN_NEW	11	CIT	%	12.059
V_300mN_NEW	11	RIT	%	-0.122
V_300mN_NEW	11	Welast	pJ	72577.992
V_300mN_NEW	11	Wplast	pJ	216645.500
V_300mN_NEW	11	Wtotal	pJ	289223.500
V_300mN_NEW	11	nit	%	25.094
V_300mN_NEW	11	X	mm	12.096
V_300mN_NEW	11	Y	mm	31.745
V_300mN_NEW	11	F/S©÷(O&P)	nm©÷/mN	559.117
V_300mN_NEW	12	HIT (O&P)	MPa	3668.779
V_300mN_NEW	12	HVIT (O&P)	Vickers	373.984
V_300mN_NEW	12	EIT (O&P)	GPa	69.436
V_300mN_NEW	12	E* (O&P)	GPa	78.512
V_300mN_NEW	12	Er (O&P)	GPa	73.480
V_300mN_NEW	12	hm (O&P)	nm	1714.350
V_300mN_NEW	12	Fm (O&P)	mN	299.998
V_300mN_NEW	12	S (O&P)	mN/nm	0.750
V_300mN_NEW	12	Poisson's ratio		0.340
V_300mN_NEW	12	hc (O&P)	nm	1399.322
V_300mN_NEW	12	hr (O&P)	nm	1314.227
V_300mN_NEW	12	hp (O&P)	nm	1223.395
V_300mN_NEW	12	Epsilon (O&P)		0.787
V_300mN_NEW	12	Ap (O&P)	nm©÷	81770456.000
V_300mN_NEW	12	m (O&P)		1.227
V_300mN_NEW	12	CIT	%	10.884
V_300mN_NEW	12	RIT	%	-0.125
V_300mN_NEW	12	Welast	pJ	70577.391
V_300mN_NEW	12	Wplast	pJ	205494.500
V_300mN_NEW	12	Wtotal	pJ	276071.906
V_300mN_NEW	12	nit	%	25.565
V_300mN_NEW	12	X	mm	12.296
V_300mN_NEW	12	Y	mm	31.745
V_300mN_NEW	12	F/S©÷(O&P)	nm©÷/mN	533.664
V_200mN_NEW	2	HIT (O&P)	MPa	3448.864
V_200mN_NEW	2	HVIT (O&P)	Vickers	351.566
V_200mN_NEW	2	EIT (O&P)	GPa	61.383
V_200mN_NEW	2	E* (O&P)	GPa	69.406
V_200mN_NEW	2	Er (O&P)	GPa	65.444
V_200mN_NEW	2	hm (O&P)	nm	1263.111
V_200mN_NEW	2	Fm (O&P)	mN	199.854
V_200mN_NEW	2	S (O&P)	mN/nm	0.562
V_200mN_NEW	2	Poisson's ratio		0.340
V_200mN_NEW	2	hc (O&P)	nm	969.239
V_200mN_NEW	2	hr (O&P)	nm	907.589
V_200mN_NEW	2	hp (O&P)	nm	869.660
V_200mN_NEW	2	Epsilon (O&P)		0.827
V_200mN_NEW	2	Ap (O&P)	nm©÷	57947800.000
V_200mN_NEW	2	m (O&P)		1.107
V_200mN_NEW	2	CIT	%	9.562
V_200mN_NEW	2	RIT	%	-0.155
V_200mN_NEW	2	Welast	pJ	38332.695
V_200mN_NEW	2	Wplast	pJ	95345.898
V_200mN_NEW	2	Wtotal	pJ	133678.594
V_200mN_NEW	2	nit	%	28.675
V_200mN_NEW	2	X	mm	5.885
V_200mN_NEW	2	Y	mm	37.028
V_200mN_NEW	2	F/S©÷(O&P)	nm©÷/mN	632.441
V_200mN_NEW	3	HIT (O&P)	MPa	3476.271
V_200mN_NEW	3	HVIT (O&P)	Vickers	354.360
V_200mN_NEW	3	EIT (O&P)	GPa	63.316
V_200mN_NEW	3	E* (O&P)	GPa	71.592
V_200mN_NEW	3	Er (O&P)	GPa	67.385
V_200mN_NEW	3	hm (O&P)	nm	1245.539
V_200mN_NEW	3	Fm (O&P)	mN	199.946
V_200mN_NEW	3	S (O&P)	mN/nm	0.577
V_200mN_NEW	3	Poisson's ratio		0.340
V_200mN_NEW	3	hc (O&P)	nm	961.656
V_200mN_NEW	3	hr (O&P)	nm	898.805
V_200mN_NEW	3	hp (O&P)	nm	854.243
V_200mN_NEW	3	Epsilon (O&P)		0.819
V_200mN_NEW	3	Ap (O&P)	nm©÷	57517368.000
V_200mN_NEW	3	m (O&P)		1.129
V_200mN_NEW	3	CIT	%	8.977
V_200mN_NEW	3	RIT	%	-0.182
V_200mN_NEW	3	Welast	pJ	37623.121
V_200mN_NEW	3	Wplast	pJ	93456.836
V_200mN_NEW	3	Wtotal	pJ	131079.953
V_200mN_NEW	3	nit	%	28.702
V_200mN_NEW	3	X	mm	5.735
V_200mN_NEW	3	Y	mm	37.178
V_200mN_NEW	3	F/S©÷(O&P)	nm©÷/mN	601.286
V_200mN_NEW	4	HIT (O&P)	MPa	3424.753
V_200mN_NEW	4	HVIT (O&P)	Vickers	349.108
V_200mN_NEW	4	EIT (O&P)	GPa	62.657
V_200mN_NEW	4	E* (O&P)	GPa	70.847
V_200mN_NEW	4	Er (O&P)	GPa	66.725
V_200mN_NEW	4	hm (O&P)	nm	1263.682
V_200mN_NEW	4	Fm (O&P)	mN	200.059
V_200mN_NEW	4	S (O&P)	mN/nm	0.575
V_200mN_NEW	4	Poisson's ratio		0.340
V_200mN_NEW	4	hc (O&P)	nm	977.485
V_200mN_NEW	4	hr (O&P)	nm	916.024
V_200mN_NEW	4	hp (O&P)	nm	875.673
V_200mN_NEW	4	Epsilon (O&P)		0.823
V_200mN_NEW	4	Ap (O&P)	nm©÷	58415456.000
V_200mN_NEW	4	m (O&P)		1.116
V_200mN_NEW	4	CIT	%	9.221
V_200mN_NEW	4	RIT	%	-0.172
V_200mN_NEW	4	Welast	pJ	37507.016
V_200mN_NEW	4	Wplast	pJ	91385.609
V_200mN_NEW	4	Wtotal	pJ	128892.625
V_200mN_NEW	4	nit	%	29.099
V_200mN_NEW	4	X	mm	5.885
