Group	Measurement	Parameter	Unit	Value
Y_HT_300mN	5	Fm (O&P)	mN	300.026
Y_HT_300mN	5	S (O&P)	mN/nm	0.926
Y_HT_300mN	5	Poisson's ratio		0.300
Y_HT_300mN	5	hc (O&P)	nm	1479.899
Y_HT_300mN	5	hr (O&P)	nm	1427.568
Y_HT_300mN	5	hp (O&P)	nm	1396.964
Y_HT_300mN	5	Epsilon (O&P)		0.838
Y_HT_300mN	5	Ap (O&P)	nm²	86104416.000
Y_HT_300mN	5	m (O&P)		1.094
Y_HT_300mN	5	CIT	%	13.858
Y_HT_300mN	5	RIT	%	-0.127
Y_HT_300mN	5	Welast	pJ	54638.195
Y_HT_300mN	5	Wplast	pJ	242805.469
Y_HT_300mN	5	Wtotal	pJ	297443.656
Y_HT_300mN	5	nit	%	18.369
Y_HT_300mN	5	X	µm	10863.532
Y_HT_300mN	5	Y	µm	37422.164
Y_HT_300mN	5	G (Creep)	GPa	10.395
Y_HT_300mN	5	E (Creep)	GPa	27.026
Y_HT_300mN	5	K (Creep)	GPa	22.522
Y_HT_300mN	5	F/S²(O&P)	nm²/mN	349.875
Y_HT_300mN	6	hm (O&P)	nm	1919.645
Y_HT_300mN	6	Fm (O&P)	mN	-153.969
Y_HT_300mN	6	Poisson's ratio		0.300
Y_HT_300mN	6	hr (O&P)	nm	0.000
Y_HT_300mN	6	hp (O&P)	nm	0.000
Y_HT_300mN	6	CIT	%	20.945
Y_HT_300mN	6	RIT	%	-94.329
Y_HT_300mN	6	Welast	pJ	0.000
Y_HT_300mN	6	Wplast	pJ	0.000
Y_HT_300mN	6	Wtotal	pJ	0.000
Y_HT_300mN	6	X	µm	11063.532
Y_HT_300mN	6	Y	µm	37422.164
Y_HT_300mN	6	G (Creep)	GPa	-1.115
Y_HT_300mN	6	E (Creep)	GPa	-2.898
Y_HT_300mN	6	K (Creep)	GPa	-2.415
Y_HT_300mN	7	HIT (O&P)	GPa	3.635
Y_HT_300mN	7	HVIT (O&P)	Vickers	370.540
Y_HT_300mN	7	EIT (O&P)	GPa	93.473
Y_HT_300mN	7	E* (O&P)	GPa	102.718
Y_HT_300mN	7	Er (O&P)	GPa	94.273
Y_HT_300mN	7	hm (O&P)	nm	1646.398
Y_HT_300mN	7	Fm (O&P)	mN	299.743
Y_HT_300mN	7	S (O&P)	mN/nm	0.966
Y_HT_300mN	7	Poisson's ratio		0.300
Y_HT_300mN	7	hc (O&P)	nm	1412.097
Y_HT_300mN	7	hr (O&P)	nm	1336.096
Y_HT_300mN	7	hp (O&P)	nm	1198.440
Y_HT_300mN	7	Epsilon (O&P)		0.755
Y_HT_300mN	7	Ap (O&P)	nm²	82460280.000
Y_HT_300mN	7	m (O&P)		1.444
Y_HT_300mN	7	CIT	%	15.008
Y_HT_300mN	7	RIT	%	-0.100
Y_HT_300mN	7	Welast	pJ	61791.523
Y_HT_300mN	7	Wplast	pJ	219207.469
Y_HT_300mN	7	Wtotal	pJ	280999.000
Y_HT_300mN	7	nit	%	21.990
Y_HT_300mN	7	X	µm	10863.532
Y_HT_300mN	7	Y	µm	37622.164
Y_HT_300mN	7	G (Creep)	GPa	9.248
Y_HT_300mN	7	E (Creep)	GPa	24.046
Y_HT_300mN	7	K (Creep)	GPa	20.038
Y_HT_300mN	7	F/S²(O&P)	nm²/mN	321.233
Y_HT_300mN	8	HIT (O&P)	GPa	3.678
Y_HT_300mN	8	HVIT (O&P)	Vickers	374.879
Y_HT_300mN	8	EIT (O&P)	GPa	91.675
Y_HT_300mN	8	E* (O&P)	GPa	100.742
Y_HT_300mN	8	Er (O&P)	GPa	92.606
Y_HT_300mN	8	hm (O&P)	nm	1649.861
Y_HT_300mN	8	Fm (O&P)	mN	300.018
Y_HT_300mN	8	S (O&P)	mN/nm	0.944
Y_HT_300mN	8	Poisson's ratio		0.300
Y_HT_300mN	8	hc (O&P)	nm	1395.813
Y_HT_300mN	8	hr (O&P)	nm	1331.983
Y_HT_300mN	8	hp (O&P)	nm	1273.883
Y_HT_300mN	8	Epsilon (O&P)		0.799
Y_HT_300mN	8	Ap (O&P)	nm²	81580736.000
Y_HT_300mN	8	m (O&P)		1.183
Y_HT_300mN	8	CIT	%	11.093
Y_HT_300mN	8	RIT	%	-0.107
Y_HT_300mN	8	Welast	pJ	56089.879
Y_HT_300mN	8	Wplast	pJ	220139.016
Y_HT_300mN	8	Wtotal	pJ	276228.906
Y_HT_300mN	8	nit	%	20.306
Y_HT_300mN	8	X	µm	11063.532
Y_HT_300mN	8	Y	µm	37622.164
Y_HT_300mN	8	G (Creep)	GPa	11.521
Y_HT_300mN	8	E (Creep)	GPa	29.955
Y_HT_300mN	8	K (Creep)	GPa	24.962
Y_HT_300mN	8	F/S²(O&P)	nm²/mN	336.802
Y_HT_200mN	1	HIT (O&P)	GPa	3.779
Y_HT_200mN	1	HVIT (O&P)	Vickers	385.203
Y_HT_200mN	1	EIT (O&P)	GPa	90.723
Y_HT_200mN	1	E* (O&P)	GPa	99.696
Y_HT_200mN	1	Er (O&P)	GPa	91.721
Y_HT_200mN	1	hm (O&P)	nm	1111.279
Y_HT_200mN	1	Fm (O&P)	mN	199.983
Y_HT_200mN	1	S (O&P)	mN/nm	0.753
Y_HT_200mN	1	Poisson's ratio		0.300
Y_HT_200mN	1	hc (O&P)	nm	881.091
Y_HT_200mN	1	hr (O&P)	nm	845.663
Y_HT_200mN	1	hp (O&P)	nm	824.945
Y_HT_200mN	1	Epsilon (O&P)		0.867
Y_HT_200mN	1	Ap (O&P)	nm²	52921700.000
Y_HT_200mN	1	m (O&P)		1.078
Y_HT_200mN	1	CIT	%	10.631
Y_HT_200mN	1	RIT	%	-0.198
