Group	Measurement	Parameter	Unit	Value
Y_HT_300mN	7	hc (O&P)	nm	1412.097
Y_HT_300mN	7	hr (O&P)	nm	1336.096
Y_HT_300mN	7	hp (O&P)	nm	1198.440
Y_HT_300mN	7	Epsilon (O&P)		0.755
Y_HT_300mN	7	Ap (O&P)	nm²	82460280.000
Y_HT_300mN	7	m (O&P)		1.444
Y_HT_300mN	7	CIT	%	15.008
Y_HT_300mN	7	RIT	%	-0.100
Y_HT_300mN	7	Welast	pJ	61791.523
Y_HT_300mN	7	Wplast	pJ	219207.469
Y_HT_300mN	7	Wtotal	pJ	280999.000
Y_HT_300mN	7	nit	%	21.990
Y_HT_300mN	7	X	µm	10863.532
Y_HT_300mN	7	Y	µm	37622.164
Y_HT_300mN	7	G (Creep)	GPa	9.248
Y_HT_300mN	7	E (Creep)	GPa	24.046
Y_HT_300mN	7	K (Creep)	GPa	20.038
Y_HT_300mN	7	F/S²(O&P)	nm²/mN	321.233
Y_HT_300mN	8	HIT (O&P)	GPa	3.678
Y_HT_300mN	8	HVIT (O&P)	Vickers	374.879
Y_HT_300mN	8	EIT (O&P)	GPa	91.675
Y_HT_300mN	8	E* (O&P)	GPa	100.742
Y_HT_300mN	8	Er (O&P)	GPa	92.606
Y_HT_300mN	8	hm (O&P)	nm	1649.861
Y_HT_300mN	8	Fm (O&P)	mN	300.018
Y_HT_300mN	8	S (O&P)	mN/nm	0.944
Y_HT_300mN	8	Poisson's ratio		0.300
Y_HT_300mN	8	hc (O&P)	nm	1395.813
Y_HT_300mN	8	hr (O&P)	nm	1331.983
Y_HT_300mN	8	hp (O&P)	nm	1273.883
Y_HT_300mN	8	Epsilon (O&P)		0.799
Y_HT_300mN	8	Ap (O&P)	nm²	81580736.000
Y_HT_300mN	8	m (O&P)		1.183
Y_HT_300mN	8	CIT	%	11.093
Y_HT_300mN	8	RIT	%	-0.107
Y_HT_300mN	8	Welast	pJ	56089.879
Y_HT_300mN	8	Wplast	pJ	220139.016
Y_HT_300mN	8	Wtotal	pJ	276228.906
Y_HT_300mN	8	nit	%	20.306
Y_HT_300mN	8	X	µm	11063.532
Y_HT_300mN	8	Y	µm	37622.164
Y_HT_300mN	8	G (Creep)	GPa	11.521
Y_HT_300mN	8	E (Creep)	GPa	29.955
Y_HT_300mN	8	K (Creep)	GPa	24.962
Y_HT_300mN	8	F/S²(O&P)	nm²/mN	336.802
